Census Region Code,Year,Age,Race,Deaths,Population,Crude Rate
CENS-R1,1999,5-14 years,White,24,5894667,0.4
CENS-R1,1999,15-24 years,Asian or Pacific Islander,12,354327,Unreliable
CENS-R1,1999,15-24 years,Black or African American,68,1046832,6.5
CENS-R1,1999,15-24 years,White,435,5398448,8.1
CENS-R1,1999,25-34 years,Asian or Pacific Islander,31,446429,6.9
CENS-R1,1999,25-34 years,Black or African American,78,1051810,7.4
CENS-R1,1999,25-34 years,White,624,6025521,10.4
CENS-R1,1999,35-44 years,Asian or Pacific Islander,21,396796,5.3
CENS-R1,1999,35-44 years,Black or African American,57,1074350,5.3
CENS-R1,1999,35-44 years,White,899,7295400,12.3
CENS-R1,1999,45-54 years,Asian or Pacific Islander,13,282711,Unreliable
CENS-R1,1999,45-54 years,Black or African American,40,764088,5.2
CENS-R1,1999,45-54 years,White,687,6124467,11.2
CENS-R1,1999,55-64 years,Asian or Pacific Islander,12,156140,Unreliable
CENS-R1,1999,55-64 years,Black or African American,20,496298,4
CENS-R1,1999,55-64 years,White,425,4065681,10.5
CENS-R1,1999,65-74 years,Black or African American,14,324317,Unreliable
CENS-R1,1999,65-74 years,White,309,3374655,9.2
CENS-R1,1999,75-84 years,White,295,2426075,12.2
CENS-R1,1999,85+ years,White,120,854092,14.1
CENS-R1,2000,5-14 years,White,37,5908147,0.6
CENS-R1,2000,15-24 years,Asian or Pacific Islander,13,364926,Unreliable
CENS-R1,2000,15-24 years,Black or African American,70,1061506,6.6
CENS-R1,2000,15-24 years,White,455,5439558,8.4
CENS-R1,2000,25-34 years,Asian or Pacific Islander,25,464034,5.4
CENS-R1,2000,25-34 years,Black or African American,74,1036107,7.1
CENS-R1,2000,25-34 years,White,551,5881376,9.4
CENS-R1,2000,35-44 years,Asian or Pacific Islander,14,409988,Unreliable
CENS-R1,2000,35-44 years,Black or African American,78,1085428,7.2
CENS-R1,2000,35-44 years,White,877,7274709,12.1
CENS-R1,2000,45-54 years,Asian or Pacific Islander,11,297333,Unreliable
CENS-R1,2000,45-54 years,Black or African American,49,786238,6.2
CENS-R1,2000,45-54 years,White,751,6272607,12
CENS-R1,2000,55-64 years,Asian or Pacific Islander,11,163775,Unreliable
CENS-R1,2000,55-64 years,Black or African American,13,506643,Unreliable
CENS-R1,2000,55-64 years,White,444,4122538,10.8
CENS-R1,2000,65-74 years,White,293,3342609,8.8
CENS-R1,2000,75-84 years,White,274,2448071,11.2
CENS-R1,2000,85+ years,White,93,871530,10.7
CENS-R1,2001,5-14 years,White,33,5873681,0.6
CENS-R1,2001,15-24 years,Asian or Pacific Islander,12,382509,Unreliable
CENS-R1,2001,15-24 years,Black or African American,61,1089788,5.6
CENS-R1,2001,15-24 years,White,477,5540350,8.6
CENS-R1,2001,25-34 years,Asian or Pacific Islander,19,493115,Unreliable
CENS-R1,2001,25-34 years,Black or African American,88,1015725,8.7
CENS-R1,2001,25-34 years,White,610,5700181,10.7
CENS-R1,2001,35-44 years,Asian or Pacific Islander,15,428425,Unreliable
CENS-R1,2001,35-44 years,Black or African American,57,1100420,5.2
CENS-R1,2001,35-44 years,White,877,7203503,12.2
CENS-R1,2001,45-54 years,Asian or Pacific Islander,16,320300,Unreliable
CENS-R1,2001,45-54 years,Black or African American,38,825149,4.6
CENS-R1,2001,45-54 years,White,799,6491299,12.3
CENS-R1,2001,55-64 years,Asian or Pacific Islander,10,177775,Unreliable
CENS-R1,2001,55-64 years,Black or African American,21,519430,4
CENS-R1,2001,55-64 years,White,445,4226096,10.5
CENS-R1,2001,65-74 years,Black or African American,10,335633,Unreliable
CENS-R1,2001,65-74 years,White,300,3277602,9.2
CENS-R1,2001,75-84 years,White,281,2475018,11.4
CENS-R1,2001,85+ years,White,97,888168,10.9
CENS-R1,2002,5-14 years,White,25,5825569,0.4
CENS-R1,2002,15-24 years,Asian or Pacific Islander,14,394365,Unreliable
CENS-R1,2002,15-24 years,Black or African American,66,1111023,5.9
CENS-R1,2002,15-24 years,White,481,5610174,8.6
CENS-R1,2002,25-34 years,Asian or Pacific Islander,25,518373,4.8
CENS-R1,2002,25-34 years,Black or African American,82,1010009,8.1
CENS-R1,2002,25-34 years,White,567,5589083,10.1
CENS-R1,2002,35-44 years,Asian or Pacific Islander,16,440479,Unreliable
CENS-R1,2002,35-44 years,Black or African American,65,1100896,5.9
CENS-R1,2002,35-44 years,White,866,7093851,12.2
CENS-R1,2002,45-54 years,Asian or Pacific Islander,17,337171,Unreliable
CENS-R1,2002,45-54 years,Black or African American,46,850346,5.4
CENS-R1,2002,45-54 years,White,807,6514267,12.4
CENS-R1,2002,55-64 years,Black or African American,17,539706,Unreliable
CENS-R1,2002,55-64 years,White,476,4481044,10.6
CENS-R1,2002,65-74 years,Black or African American,10,341477,Unreliable
CENS-R1,2002,65-74 years,White,283,3225348,8.8
CENS-R1,2002,75-84 years,White,269,2493774,10.8
CENS-R1,2002,85+ years,White,103,902551,11.4
CENS-R1,2003,5-14 years,White,28,5753905,0.5
CENS-R1,2003,15-24 years,Asian or Pacific Islander,11,405052,Unreliable
CENS-R1,2003,15-24 years,Black or African American,69,1135196,6.1
CENS-R1,2003,15-24 years,White,428,5680319,7.5
CENS-R1,2003,25-34 years,Asian or Pacific Islander,21,536927,3.9
CENS-R1,2003,25-34 years,Black or African American,63,1005422,6.3
CENS-R1,2003,25-34 years,White,540,5497144,9.8
CENS-R1,2003,35-44 years,Asian or Pacific Islander,14,453270,Unreliable
CENS-R1,2003,35-44 years,Black or African American,69,1099651,6.3
CENS-R1,2003,35-44 years,White,820,6957776,11.8
CENS-R1,2003,45-54 years,Asian or Pacific Islander,25,353718,7.1
CENS-R1,2003,45-54 years,Black or African American,42,875692,4.8
CENS-R1,2003,45-54 years,White,826,6594892,12.5
CENS-R1,2003,55-64 years,Asian or Pacific Islander,14,206247,Unreliable
CENS-R1,2003,55-64 years,Black or African American,24,558325,4.3
CENS-R1,2003,55-64 years,White,549,4668829,11.8
CENS-R1,2003,65-74 years,Asian or Pacific Islander,11,111819,Unreliable
CENS-R1,2003,65-74 years,Black or African American,15,348084,Unreliable
CENS-R1,2003,65-74 years,White,278,3185715,8.7
CENS-R1,2003,75-84 years,White,274,2498380,11
CENS-R1,2003,85+ years,White,107,924774,11.6
CENS-R1,2004,5-14 years,Black or African American,12,1206726,Unreliable
CENS-R1,2004,5-14 years,White,27,5660519,0.5
CENS-R1,2004,15-24 years,Asian or Pacific Islander,17,415024,Unreliable
CENS-R1,2004,15-24 years,Black or African American,73,1155532,6.3
CENS-R1,2004,15-24 years,White,471,5732806,8.2
CENS-R1,2004,25-34 years,Asian or Pacific Islander,24,550263,4.4
CENS-R1,2004,25-34 years,Black or African American,80,1002915,8
CENS-R1,2004,25-34 years,White,550,5395806,10.2
CENS-R1,2004,35-44 years,Asian or Pacific Islander,14,467801,Unreliable
CENS-R1,2004,35-44 years,Black or African American,66,1092997,6
CENS-R1,2004,35-44 years,White,826,6810245,12.1
