Census Region Code,Age,Year,Deaths,Population,Crude Rate
CENS-R1,15-24 years,1999,515,6799607,7.573967142512795
CENS-R1,15-24 years,2000,538,6865990,7.835723617424436
CENS-R1,15-24 years,2001,550,7012647,7.842972846059412
CENS-R1,15-24 years,2002,561,7115562,7.884127775149735
CENS-R1,15-24 years,2003,508,7220567,7.035458572713195
CENS-R1,15-24 years,2004,561,7303362,7.681393856692302
CENS-R1,15-24 years,2005,529,7402374,7.146356020379408
CENS-R1,15-24 years,2006,494,7486534,6.598514078744583
CENS-R1,15-24 years,2007,540,7547790,7.154412086186818
CENS-R1,15-24 years,2008,503,7590202,6.62696460515807
CENS-R1,15-24 years,2009,566,7630249,7.417844424212107
CENS-R1,15-24 years,2010,668,7638724,8.744916035714866
CENS-R1,15-24 years,2011,683,7605525,8.980313653561062
CENS-R1,15-24 years,2012,657,7597557,8.647516563547994
CENS-R1,15-24 years,2013,629,7541673,8.340324487683302
CENS-R1,15-24 years,2014,659,7522865,8.75996046718903
CENS-R1,15-24 years,2015,652,7461661,8.738000828501859
CENS-R1,15-24 years,2016,702,7390470,9.498719296607659
CENS-R1,15-24 years,2017,778,7315572,10.634848512187427
CENS-R1,15-24 years,2018,714,7154723,9.979421984610724
CENS-R1,15-24 years,2019,670,7045932,9.509033013659513
CENS-R1,15-24 years,2020,596,6948073,8.577917934943976
CENS-R1,25-34 years,1999,733,7523760,9.742469190936447
CENS-R1,25-34 years,2000,650,7381517,8.805777999292015
CENS-R1,25-34 years,2001,717,7209021,9.945871984559346
CENS-R1,25-34 years,2002,674,7117465,9.469663707513842
CENS-R1,25-34 years,2003,624,7039493,8.864274742513416
CENS-R1,25-34 years,2004,654,6948984,9.411447774235773
CENS-R1,25-34 years,2005,646,6842245,9.441345640210194
CENS-R1,25-34 years,2006,647,6765464,9.5632760738953
CENS-R1,25-34 years,2007,681,6759837,10.074207410622476
CENS-R1,25-34 years,2008,676,6830857,9.896269238252243
CENS-R1,25-34 years,2009,630,6909415,9.117993346759459
CENS-R1,25-34 years,2010,730,6965260,10.480585075072575
CENS-R1,25-34 years,2011,792,7106114,11.145332033795125
CENS-R1,25-34 years,2012,803,7225133,11.113982261641413
CENS-R1,25-34 years,2013,821,7347718,11.17353714445764
CENS-R1,25-34 years,2014,878,7454532,11.778070038467876
CENS-R1,25-34 years,2015,864,7536487,11.46422729847474
CENS-R1,25-34 years,2016,883,7586334,11.639350442519403
CENS-R1,25-34 years,2017,988,7680983,12.862936944398912
CENS-R1,25-34 years,2018,975,7650412,12.7444116735151
CENS-R1,25-34 years,2019,993,7656075,12.970092377621693
CENS-R1,25-34 years,2020,953,7634970,12.482039877039465
CENS-R1,35-44 years,1999,977,8766546,11.144640089722909
CENS-R1,35-44 years,2000,969,8770125,11.048873305682644
CENS-R1,35-44 years,2001,949,8732348,10.867638348815232
CENS-R1,35-44 years,2002,947,8635226,10.966707761904553
CENS-R1,35-44 years,2003,903,8510697,10.61017681630541
CENS-R1,35-44 years,2004,906,8371043,10.823024084334534
CENS-R1,35-44 years,2005,922,8231232,11.201239377045866
CENS-R1,35-44 years,2006,928,8086498,11.475919489499658
CENS-R1,35-44 years,2007,966,7905015,12.220090663964584
CENS-R1,35-44 years,2008,982,7706770,12.742043683670332
